precision,recall,f1,average_precision,roc_auc,tn,fp,fn,tp,window_hours,experiment,model,model_status,train_year,test_year,feature_count
0.4927536231884058,0.0819277108433735,0.14049586776859505,0.233851622681748,0.933534585886021,100961,35,381,34,1,combined,xgboost,completed,2024,2025,28
0.41025641025641024,0.03855421686746988,0.07048458149779736,0.1869550799343103,0.928234077742313,100973,23,399,16,1,graphsage_only,xgboost,completed,2024,2025,16
0.3972602739726027,0.06987951807228916,0.11885245901639344,0.23512131551926127,0.9338706125543801,100952,44,386,29,1,token_only,xgboost,completed,2024,2025,12
0.6341463414634146,0.25060240963855424,0.3592400690846287,0.4567653451376366,0.9626424307869523,100936,60,311,104,6,combined,xgboost,completed,2024,2025,28
0.6418918918918919,0.2289156626506024,0.33747779751332146,0.4541840722026869,0.9623330901331175,100943,53,320,95,6,graphsage_only,xgboost,completed,2024,2025,16
0.4530386740331492,0.19759036144578312,0.2751677852348993,0.34321064015351294,0.9634698046015898,100897,99,333,82,6,token_only,xgboost,completed,2024,2025,12
0.5907590759075908,0.43132530120481927,0.4986072423398329,0.5014180679002196,0.9829225730996385,100872,124,236,179,24,combined,xgboost,completed,2024,2025,28
0.596958174904943,0.3783132530120482,0.4631268436578171,0.4817791880191724,0.9814505954428828,100890,106,258,157,24,graphsage_only,xgboost,completed,2024,2025,16
0.4856115107913669,0.3253012048192771,0.38961038961038963,0.42618850001605363,0.9824326813372545,100853,143,280,135,24,token_only,xgboost,completed,2024,2025,12
