model,feature,importance
logistic_regression,activity_count,4.575384251343635
logistic_regression,graph_degree,1.0129546791203037
logistic_regression,connected_entities,1.0129546791203037
logistic_regression,imbalance_ratio,0.7014625211489502
logistic_regression,lifespan_hours,0.16927502566765704
logistic_regression,entity_concentration_ratio,0.13802575135901315
logistic_regression,total_volume,0.025939272577324278
random_forest,imbalance_ratio,0.30505954542127967
random_forest,total_volume,0.24922964888198776
random_forest,lifespan_hours,0.21511380275152053
random_forest,activity_count,0.1657822088865906
random_forest,entity_concentration_ratio,0.032277021521326804
random_forest,connected_entities,0.017348833514441372
random_forest,graph_degree,0.015188939022853282
xgboost,imbalance_ratio,0.2951520085334778
xgboost,activity_count,0.1956004649400711
xgboost,total_volume,0.11562727391719818
xgboost,connected_entities,0.11070999503135681
xgboost,graph_degree,0.11046697199344635
xgboost,lifespan_hours,0.09265648573637009
xgboost,entity_concentration_ratio,0.07978677749633789
