mint,project,num_buy_swaps,num_sell_swaps,num_total_swaps,buy_volume_usd,sell_volume_usd,total_volume_usd,first_activity_time,last_activity_time,lifespan_days,inactivity_status
So11111111111111111111111111111111111111112,humidifi,1.2321274e+07,1.1715826e+07,2.40371e+07,2.1062814826710903e+10,2.1061614960472794e+10,4.21244297871837e+10,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,humidifi,1.149713e+07,1.2069371e+07,2.3566501e+07,1.8957796370143356e+10,1.895981394719698e+10,3.791761031734033e+10,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,meteora,6.3562649e+07,1.32081899e+08,1.95644548e+08,1.1195501330088896e+10,1.4004408779341293e+10,2.519991010943019e+10,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,tessera,4.194685e+06,4.230026e+06,8.424711e+06,4.475192736662672e+09,4.349469506903187e+09,8.824662243565859e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:58:45.000 UTC,30,0
So11111111111111111111111111111111111111112,tessera,3.586677e+06,3.543923e+06,7.1306e+06,4.2912668048673496e+09,4.415662008068384e+09,8.706928812935734e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:58:30.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,whirlpool,3.746933e+06,3.731461e+06,7.478394e+06,3.294542969155488e+09,3.3549319319971604e+09,6.649474901152649e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,whirlpool,4.410877e+06,4.5441e+06,8.954977e+06,3.2265464849598894e+09,3.269783870253112e+09,6.496330355213001e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,humidifi,1.939491e+06,1.966384e+06,3.905875e+06,2.503025820146e+09,2.503295391371781e+09,5.00632121151778e+09,2025-12-01 00:00:06.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,pumpswap,2.8371754e+07,2.56264e+07,5.3998154e+07,2.2701214331055713e+09,1.5214835621069229e+09,3.791604995212494e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,meteora,4.762633e+06,4.932292e+06,9.694925e+06,1.8295818282534347e+09,1.7939722457619097e+09,3.6235540740153446e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,goonfi,4.626606e+06,4.673675e+06,9.300281e+06,1.537173867553276e+09,1.5370932131472912e+09,3.0742670807005672e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solfi,3.674651e+06,3.38434e+06,7.058991e+06,1.4660255671816351e+09,1.4657220270527685e+09,2.9317475942344036e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,goonfi,3.69872e+06,3.650909e+06,7.349629e+06,1.3851650913861122e+09,1.3851109078257384e+09,2.7702759992118506e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,pumpdotfun,2.4028618e+07,2.4874333e+07,4.8902951e+07,1.221358503114759e+09,1.2685071575112622e+09,2.4898656606260214e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,alphaq,3.198815e+06,3.149072e+06,6.347887e+06,1.1381340292390337e+09,1.1380983209542913e+09,2.276232350193325e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,solfi,1.752142e+06,1.749306e+06,3.501448e+06,1.0462958255309576e+09,1.04689181387649e+09,2.0931876394074476e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,bisonfi,465877,437775,903652,1.0452890573415112e+09,1.0408401564188603e+09,2.0861292137603717e+09,2025-12-02 22:00:30.000 UTC,2025-12-31 23:59:48.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,bisonfi,437775,465877,903652,1.0408401564188594e+09,1.0452890573415115e+09,2.0861292137603707e+09,2025-12-02 22:00:30.000 UTC,2025-12-31 23:59:48.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,alphaq,1.888109e+06,2.048719e+06,3.936828e+06,8.71164209907658e+08,8.712509241488212e+08,1.7424151340564792e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,raydium,9.159129e+06,1.5701717e+07,2.4860846e+07,8.361292147808018e+08,8.746577729636225e+08,1.7107869877444243e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,jupiterz,423933,447821,871754,8.068296807152064e+08,7.33357577704302e+08,1.5401872584195085e+09,2025-12-01 00:00:04.000 UTC,2025-12-31 23:59:52.000 UTC,30,0
So11111111111111111111111111111111111111112,pancakeswap,4.010569e+06,3.87169e+06,7.882259e+06,7.384419780669398e+08,7.384090140852108e+08,1.4768509921521506e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,jupiterz,366673,317950,684623,6.025656035033722e+08,6.881271214688892e+08,1.2906927249722614e+09,2025-12-01 00:00:03.000 UTC,2025-12-31 23:59:52.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,manifest,1.323578e+06,1.327162e+06,2.65074e+06,6.377614031880302e+08,6.369111829805508e+08,1.274672586168581e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,pancakeswap,2.217994e+06,2.294322e+06,4.512316e+06,5.918076588997823e+08,5.887437885473934e+08,1.1805514474471757e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,meteora,179149,183901,363050,5.301943443130669e+08,5.562873182379335e+08,1.0864816625510004e+09,2025-12-01 00:00:10.000 UTC,2025-12-31 23:59:48.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,aquifer,1.014432e+06,1.048542e+06,2.062974e+06,5.1185366396030045e+08,5.130366259428222e+08,1.0248902899031227e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,manifest,703933,740706,1.444639e+06,5.033418087976485e+08,5.035251912607809e+08,1.0068670000584294e+09,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,aquifer,1.074911e+06,947715,2.022626e+06,4.9380420831376076e+08,4.9411948400714505e+08,9.879236923209058e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,zerofi,1.327288e+06,1.642747e+06,2.970035e+06,4.9063693870105284e+08,4.9034309783716357e+08,9.809800365382164e+08,2025-12-01 00:00:03.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,whirlpool,708063,663807,1.37187e+06,3.5387247136348593e+08,3.532454532016753e+08,7.071179245651612e+08,2025-12-01 00:00:01.000 UTC,2025-12-31 23:59:56.000 UTC,30,0
So11111111111111111111111111111111111111112,zerofi,583014,453227,1.036241e+06,3.4904490685663563e+08,3.491433275851892e+08,6.981882344418249e+08,2025-12-01 00:00:42.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,whirlpool,346597,334615,681212,3.1775329532448393e+08,3.1444945532156044e+08,6.322027506460444e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:49.000 UTC,30,0
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,whirlpool,382903,362476,745379,3.0100381637209916e+08,3.020321531146033e+08,6.030359694867024e+08,2025-12-01 00:00:01.000 UTC,2025-12-31 23:59:48.000 UTC,30,0
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,raydium,698084,530970,1.229054e+06,2.940569820440289e+08,2.6875676383835447e+08,5.628137458823833e+08,2025-12-01 00:00:06.000 UTC,2025-12-31 23:59:54.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,stabble,1.02283e+06,1.037044e+06,2.059874e+06,2.264158867903373e+08,2.2571839930486086e+08,4.5213428609519815e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:51.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,byreal,1.149965e+06,1.129483e+06,2.279448e+06,2.171827965546396e+08,2.1579743719671655e+08,4.329802337513561e+08,2025-12-01 00:00:03.000 UTC,2025-12-31 23:59:58.000 UTC,30,0
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,raydium,2.046129e+06,2.35608e+06,4.402209e+06,2.1548199530373874e+08,2.1494596397445285e+08,4.3042795927819157e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,obric,251542,223261,474803,2.0456685516227782e+08,2.0457855823446813e+08,4.091454133967459e+08,2025-12-01 00:00:01.000 UTC,2025-12-31 23:59:16.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,obric,156228,187688,343916,1.9936246321828485e+08,1.993516857928151e+08,3.9871414901109993e+08,2025-12-01 00:01:01.000 UTC,2025-12-31 23:59:16.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solfi,453025,575615,1.02864e+06,1.9121675294185004e+08,1.911979550021741e+08,3.8241470794402415e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:42.000 UTC,30,0
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,meteora,804181,797162,1.601343e+06,1.698852290432184e+08,1.7081652438365054e+08,3.407017534268689e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:58.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,jupiterz,182947,211393,394340,1.8532237288165388e+08,1.3524906126708752e+08,3.2057143414874136e+08,2025-12-01 00:00:03.000 UTC,2025-12-31 23:59:29.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,stabble,860851,906370,1.767221e+06,1.5060565441033387e+08,1.5146886500235868e+08,3.0207451941269255e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
AvZZF1YaZDziPY2RCK4oJrRVrbN3mTD9NL24hPeaZeUj,whirlpool,20097,14365,34462,1.7009491471603072e+08,1.2218628624978755e+08,2.922812009658183e+08,2025-12-01 00:00:14.000 UTC,2025-12-31 23:57:13.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,pancakeswap,811680,889666,1.701346e+06,1.3195515412742601e+08,1.3521112345685777e+08,2.6716627758428377e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:59.000 UTC,30,0
2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,whirlpool,94162,101748,195910,1.3354310355659635e+08,1.3341574909471813e+08,2.669588526513145e+08,2025-12-01 00:00:13.000 UTC,2025-12-31 23:59:52.000 UTC,30,0
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,alphaq,869580,777824,1.647404e+06,1.2456922696365295e+08,1.2457334126277469e+08,2.4914256822642764e+08,2025-12-01 00:00:05.000 UTC,2025-12-31 23:59:58.000 UTC,30,0
D6xWgRCSHoMEB5fqPwk3p6Stxirn5ytm2WwboSTTx4oE,byreal,405290,410575,815865,1.2077400074648775e+08,1.206466221677848e+08,2.4142062291427255e+08,2025-12-01 00:01:23.000 UTC,2025-12-31 23:59:58.000 UTC,30,0
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,raydium_launchlab,1.255094e+06,1.498725e+06,2.753819e+06,1.061133186960685e+08,1.1256477115434664e+08,2.1867808985041514e+08,2025-12-01 00:00:00.000 UTC,2025-12-31 23:59:57.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,whalestreet,123072,118523,241595,1.000471360981746e+08,1.0001575835504103e+08,2.0006289445321563e+08,2025-12-01 00:03:02.000 UTC,2025-12-31 23:54:12.000 UTC,30,0
So11111111111111111111111111111111111111112,whalestreet,117918,121764,239682,9.931968903023781e+07,9.9341172406171e+07,1.9866086143640882e+08,2025-12-01 00:03:02.000 UTC,2025-12-31 23:54:12.000 UTC,30,0
FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,raydium,206208,216337,422545,9.86720875412342e+07,9.816990191141966e+07,1.9684198945265386e+08,2025-12-01 00:00:30.000 UTC,2025-12-31 23:59:20.000 UTC,30,0
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,humidifi,731152,733056,1.464208e+06,9.382164115486173e+07,9.377630850962926e+07,1.87597949664491e+08,2025-12-01 00:00:06.000 UTC,2025-12-31 23:59:50.000 UTC,30,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,whirlpool,562093,474009,1.036102e+06,1.0777802244025664e+08,7.691574899732877e+07,1.846937714375854e+08,2025-12-01 00:00:01.000 UTC,2025-12-31 23:59:50.000 UTC,30,0
