mint,project,num_buy_swaps,num_sell_swaps,num_total_swaps,buy_volume_usd,sell_volume_usd,total_volume_usd,first_activity_time,last_activity_time,lifespan_days,inactivity_status
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solfi,9.178048e+06,9.148276e+06,1.8326324e+07,5.711548704403565e+09,5.714932167932616e+09,1.1426480872336182e+10,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,pumpswap,5.5657687e+07,7.43284e+07,1.29986087e+08,4.945359640683207e+09,4.955804790064244e+09,9.901164430747452e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,whirlpool,7.198638e+06,7.228716e+06,1.4427354e+07,4.873226683460723e+09,4.970455089480755e+09,9.843681772941479e+09,2025-06-01 00:00:01.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,solfi,5.024469e+06,4.804914e+06,9.829383e+06,4.409131354191168e+09,4.406459367595472e+09,8.81559072178664e+09,2025-06-01 00:00:01.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,meteora,1.6247054e+07,1.6630331e+07,3.2877385e+07,5.182673343788655e+09,3.4321385595004454e+09,8.6148119032891e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,whirlpool,4.8573e+06,5.024484e+06,9.881784e+06,3.8764999709382153e+09,3.8921279290589237e+09,7.768627899997139e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:58.000 UTC,29,0
So11111111111111111111111111111111111111112,raydium,5.1043056e+07,1.08818632e+08,1.59861688e+08,3.0804101377527037e+09,3.084322169476841e+09,6.164732307229545e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,meteora,6.405575e+06,6.63236e+06,1.3037935e+07,2.8527380994582086e+09,2.8447365221179676e+09,5.697474621576176e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,zerofi,2.230401e+06,2.425159e+06,4.65556e+06,2.5075617189670334e+09,2.5086306296683254e+09,5.016192348635359e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:57.000 UTC,29,0
So11111111111111111111111111111111111111112,zerofi,1.023898e+06,932236,1.956134e+06,2.2197440716867332e+09,2.2187462923000045e+09,4.438490363986738e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:29.000 UTC,29,0
So11111111111111111111111111111111111111112,pumpdotfun,3.8612527e+07,4.5528875e+07,8.4141402e+07,2.1298220473833208e+09,2.2165472369361258e+09,4.346369284319447e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,lifinity,4.825945e+06,4.57884e+06,9.404785e+06,1.214305656966983e+09,1.2138164518837311e+09,2.428122108850714e+09,2025-06-01 00:00:00.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,jupiterz,317978,334815,652793,1.222111771880249e+09,1.0454712186116803e+09,2.267582990491929e+09,2025-06-01 00:00:01.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,obric,2.765161e+06,3.118021e+06,5.883182e+06,9.410370167993267e+08,9.411784667921827e+08,1.8822154835915093e+09,2025-06-01 00:00:01.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,meteora,214941,268856,483797,9.202101167410343e+08,9.467342811729985e+08,1.866944397914033e+09,2025-06-01 00:00:26.000 UTC,2025-06-30 23:59:07.000 UTC,29,0
So11111111111111111111111111111111111111112,jupiterz,276578,259594,536172,7.043425586460944e+08,8.551117650826896e+08,1.559454323728784e+09,2025-06-01 00:00:01.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,obric,1.905911e+06,2.026325e+06,3.932236e+06,7.55725001082716e+08,7.557437079726622e+08,1.5114687090553782e+09,2025-06-01 00:00:01.000 UTC,2025-06-30 23:59:59.000 UTC,29,0
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,whirlpool,1.156723e+06,1.193199e+06,2.349922e+06,6.99157852085427e+08,6.961536876898711e+08,1.395311539775298e+09,2025-06-01 00:00:05.000 UTC,2025-06-30 23:59:48.000 UTC,29,0
