mint,project,num_buy_swaps,num_sell_swaps,num_total_swaps,buy_volume_usd,sell_volume_usd,total_volume_usd,first_activity_time,last_activity_time,lifespan_days,inactivity_status
So11111111111111111111111111111111111111112,raydium,1.665878e+08,2.40156163e+08,4.06743963e+08,1.2012756259951788e+10,1.2090907697289547e+10,2.4103663957241333e+10,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solfi,5.251791e+06,5.281888e+06,1.0533679e+07,6.319321036903262e+09,6.322497466991671e+09,1.2641818503894932e+10,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,solfi,3.739737e+06,3.157461e+06,6.897198e+06,5.547489139835164e+09,5.544008649144456e+09,1.109149778897962e+10,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,whirlpool,8.645328e+06,8.447688e+06,1.7093016e+07,5.315000390810587e+09,5.423516466795008e+09,1.0738516857605595e+10,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,whirlpool,5.105902e+06,5.379369e+06,1.0485271e+07,4.5883356963698845e+09,4.577714613504492e+09,9.166050309874376e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,meteora,6.065382e+06,9.212064e+06,1.5277446e+07,4.088116115193596e+09,4.006897227314475e+09,8.095013342508071e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,zerofi,2.567176e+06,2.879421e+06,5.446597e+06,3.9711916398342185e+09,3.9731787743305855e+09,7.944370414164804e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,meteora,1.4658401e+07,1.2011801e+07,2.6670202e+07,3.571600839416743e+09,3.301466148151874e+09,6.873066987568617e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,zerofi,948706,764619,1.713325e+06,3.2571798317040596e+09,3.255216458565117e+09,6.5123962902691765e+09,2025-03-01 00:00:02.000 UTC,2025-03-31 23:59:24.000 UTC,30,0
So11111111111111111111111111111111111111112,lifinity,7.274433e+06,6.046105e+06,1.3320538e+07,2.731136511391413e+09,2.730237493665942e+09,5.461374005057356e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,pumpdotfun,4.4515538e+07,5.1604165e+07,9.6119703e+07,1.8513505730704947e+09,1.9281869501585152e+09,3.7795375232290096e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,meteora,672798,722191,1.394989e+06,1.6639486612615762e+09,1.708472001020035e+09,3.3724206622816114e+09,2025-03-01 00:00:09.000 UTC,2025-03-31 23:59:46.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,lifinity,3.806001e+06,5.186356e+06,8.992357e+06,1.502354894392547e+09,1.5028077022710392e+09,3.005162596663586e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,obric,3.3017e+06,3.778633e+06,7.080333e+06,1.3703092054952843e+09,1.3703698880123482e+09,2.7406790935076323e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,obric,3.880919e+06,4.261955e+06,8.142874e+06,1.3514144937440803e+09,1.3515646236763225e+09,2.7029791174204025e+09,2025-03-01 00:00:00.000 UTC,2025-03-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,pumpswap,1.3637044e+07,2.1100959e+07,3.4738003e+07,1.302839058331468e+09,1.287187543620057e+09,2.590026601951525e+09,2025-03-14 06:15:04.000 UTC,2025-03-31 23:59:59.000 UTC,17,0
