mint,project,num_buy_swaps,num_sell_swaps,num_total_swaps,buy_volume_usd,sell_volume_usd,total_volume_usd,first_activity_time,last_activity_time,lifespan_days,inactivity_status
So11111111111111111111111111111111111111112,humidifi,8.568194e+06,8.227045e+06,1.6795239e+07,1.8618015796529667e+10,1.8614495335221172e+10,3.723251113175084e+10,2025-11-01 00:00:00.000 UTC,2025-11-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,humidifi,9.116951e+06,9.396994e+06,1.8513945e+07,1.7166808156773779e+10,1.717042020153097e+10,3.433722835830475e+10,2025-11-01 00:00:00.000 UTC,2025-11-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,meteora,5.9194035e+07,1.35214061e+08,1.94408096e+08,6.143187159223391e+09,9.290332809690105e+09,1.5433519968913496e+10,2025-11-01 00:00:00.000 UTC,2025-11-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,whirlpool,6.877101e+06,7.017542e+06,1.3894643e+07,5.297261327621132e+09,5.408674287216197e+09,1.070593561483733e+10,2025-11-01 00:00:01.000 UTC,2025-11-30 23:59:58.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,whirlpool,5.60536e+06,5.571195e+06,1.1176555e+07,5.007118345607503e+09,5.027473184965218e+09,1.003459153057272e+10,2025-11-01 00:00:00.000 UTC,2025-11-30 23:59:58.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,tessera,4.720005e+06,4.747444e+06,9.467449e+06,4.961453405271916e+09,4.569166194848089e+09,9.530619600120007e+09,2025-11-01 00:00:00.000 UTC,2025-11-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,tessera,3.945757e+06,4.022969e+06,7.968726e+06,4.4551848951403675e+09,4.843815929133939e+09,9.299000824274307e+09,2025-11-01 00:00:02.000 UTC,2025-11-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solfi,7.161384e+06,7.313069e+06,1.4474453e+07,4.447204725942275e+09,4.446185646156772e+09,8.893390372099047e+09,2025-11-01 00:00:00.000 UTC,2025-11-30 23:59:58.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,meteora,6.559329e+06,6.476283e+06,1.3035612e+07,4.1560023201846423e+09,4.091671798377796e+09,8.247674118562439e+09,2025-11-01 00:00:00.000 UTC,2025-11-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,solfi,4.127983e+06,3.77197e+06,7.899953e+06,3.6024822029725556e+09,3.601913455690167e+09,7.204395658662723e+09,2025-11-01 00:00:00.000 UTC,2025-11-30 23:59:58.000 UTC,29,0
