mint,project,num_buy_swaps,num_sell_swaps,num_total_swaps,buy_volume_usd,sell_volume_usd,total_volume_usd,first_activity_time,last_activity_time,lifespan_days,inactivity_status
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,humidifi,6.172631e+06,6.425642e+06,1.2598273e+07,1.1470699176401825e+10,1.1472655269915829e+10,2.2943354446317654e+10,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:57.000 UTC,30,0
So11111111111111111111111111111111111111112,humidifi,5.773172e+06,5.507994e+06,1.1281166e+07,1.1213439609194368e+10,1.1210960118193039e+10,2.2424399727387405e+10,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:57.000 UTC,30,0
So11111111111111111111111111111111111111112,whirlpool,7.881335e+06,7.673444e+06,1.5554779e+07,8.543648137906248e+09,8.573094401929105e+09,1.7116742539835354e+10,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,whirlpool,5.710417e+06,5.919831e+06,1.1630248e+07,7.1695196073042965e+09,7.2261292823420315e+09,1.4395648889646328e+10,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:57.000 UTC,30,0
So11111111111111111111111111111111111111112,meteora,2.7856147e+07,2.9865252e+07,5.7721399e+07,7.096210272129349e+09,6.694130771508557e+09,1.3790341043637905e+10,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,meteora,9.219163e+06,9.954268e+06,1.9173431e+07,4.767989048135597e+09,4.802667241396387e+09,9.570656289531984e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:58.000 UTC,30,0
So11111111111111111111111111111111111111112,pumpswap,4.2074905e+07,5.3720344e+07,9.5795249e+07,4.637261439208611e+09,4.620306323785642e+09,9.257567762994251e+09,2025-08-01 00:00:00.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,raydium,4.5805928e+07,7.455949e+07,1.20365418e+08,3.558492483411835e+09,3.5171418006499705e+09,7.075634284061806e+09,2025-08-01 00:00:00.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solfi,1.0199355e+07,1.0555216e+07,2.0754571e+07,3.393266660610175e+09,3.3962043146407046e+09,6.789470975250879e+09,2025-08-01 00:00:00.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,tessera,3.169473e+06,3.367106e+06,6.536579e+06,3.5256736499456086e+09,3.1607585080739226e+09,6.686432158019531e+09,2025-08-01 00:00:02.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,tessera,2.0182e+06,1.852262e+06,3.870462e+06,2.8863232354871807e+09,3.2293711427649264e+09,6.115694378252108e+09,2025-08-01 00:00:02.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,zerofi,3.141982e+06,3.214144e+06,6.356126e+06,2.9802698752956004e+09,2.9810444539631386e+09,5.961314329258739e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,zerofi,1.553887e+06,1.592339e+06,3.146226e+06,2.5805243026144824e+09,2.5798131094752884e+09,5.160337412089771e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,solfi,6.413893e+06,5.607197e+06,1.202109e+07,2.203573222625571e+09,2.200720846323869e+09,4.40429406894944e+09,2025-08-01 00:00:00.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,pumpdotfun,2.764145e+07,3.3125858e+07,6.0767308e+07,2.121501561022499e+09,2.2000692868322554e+09,4.321570847854754e+09,2025-08-01 00:00:00.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,jupiterz,354962,382423,737385,1.5683042809425097e+09,1.3272089515173378e+09,2.8955132324598475e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:57.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,goonfi,3.167629e+06,3.881477e+06,7.049106e+06,1.2360579365556931e+09,1.236063549895321e+09,2.472121486451014e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,goonfi,3.881477e+06,3.167629e+06,7.049106e+06,1.2360635498953197e+09,1.236057936555693e+09,2.4721214864510126e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
So11111111111111111111111111111111111111112,jupiterz,382459,329474,711933,1.0940833246344862e+09,1.2830244803989675e+09,2.377107805033454e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:57.000 UTC,30,0
So11111111111111111111111111111111111111112,lifinity,3.870098e+06,3.343456e+06,7.213554e+06,1.029779582779154e+09,1.02937215567276e+09,2.0591517384519138e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,meteora,283688,298052,581740,1.0049843490578111e+09,1.0102360831783288e+09,2.0152204322361398e+09,2025-08-01 00:00:06.000 UTC,2025-08-31 23:58:06.000 UTC,30,0
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,whirlpool,1.138939e+06,1.168845e+06,2.307784e+06,7.922836434164702e+08,7.932139672370868e+08,1.5854976106535568e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:42.000 UTC,30,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,whirlpool,1.296446e+06,1.332791e+06,2.629237e+06,6.701230988275771e+08,6.725213566530174e+08,1.3426444554805946e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:58.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,stabble,2.710824e+06,2.800357e+06,5.511181e+06,6.678117431345315e+08,6.679716116284246e+08,1.3357833547629561e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,lifinity,2.14989e+06,2.474187e+06,4.624077e+06,6.303219688304043e+08,6.306594545590261e+08,1.2609814233894305e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:59.000 UTC,30,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,obric,2.611399e+06,3.168753e+06,5.780152e+06,6.118293229649942e+08,6.116344323761363e+08,1.2234637553411305e+09,2025-08-01 00:00:01.000 UTC,2025-08-31 23:59:58.000 UTC,30,0
