mint,project,num_buy_swaps,num_sell_swaps,num_total_swaps,buy_volume_usd,sell_volume_usd,total_volume_usd,first_activity_time,last_activity_time,lifespan_days,inactivity_status
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solfi,8.446603e+06,8.665062e+06,1.7111665e+07,7.675534832042266e+09,7.679861313810926e+09,1.5355396145853191e+10,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,whirlpool,1.060303e+07,1.051548e+07,2.111851e+07,7.006206228928148e+09,7.090263397644421e+09,1.4096469626572569e+10,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,solfi,5.108344e+06,4.561363e+06,9.669707e+06,5.64474426501112e+09,5.641968772238745e+09,1.1286713037249865e+10,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
So11111111111111111111111111111111111111112,pumpswap,5.5096552e+07,8.6160558e+07,1.4125711e+08,5.5793216634952545e+09,5.532265459083862e+09,1.1111587122579117e+10,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,whirlpool,5.841604e+06,6.135515e+06,1.1977119e+07,5.08466439028154e+09,5.1174308914342e+09,1.020209528171574e+10,2025-04-01 00:00:02.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,meteora,8.421305e+06,1.2455501e+07,2.0876806e+07,4.853034924005287e+09,4.900108877634338e+09,9.753143801639626e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,raydium,6.6335745e+07,1.17595108e+08,1.83930853e+08,3.900869868788304e+09,3.923316789735315e+09,7.824186658523619e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,meteora,2.0647511e+07,1.6906295e+07,3.7553806e+07,3.588989684327046e+09,3.589775708996763e+09,7.178765393323809e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,lifinity,7.055302e+06,6.017903e+06,1.3073205e+07,2.490497319941326e+09,2.4896600219013224e+09,4.9801573418426485e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
So11111111111111111111111111111111111111112,pumpdotfun,4.4778576e+07,5.1388749e+07,9.6167325e+07,2.4214550919494066e+09,2.525225814228216e+09,4.946680906177623e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,meteora,746857,760906,1.507763e+06,2.2804891141236134e+09,2.257086015329436e+09,4.537575129453049e+09,2025-04-01 00:00:11.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,obric,5.876216e+06,5.499315e+06,1.1375531e+07,1.9870822910701993e+09,1.987275361517471e+09,3.9743576525876703e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,zerofi,3.124794e+06,3.38496e+06,6.509754e+06,1.8068734250538836e+09,1.8063138796710222e+09,3.613187304724906e+09,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,obric,3.719781e+06,5.269968e+06,8.989749e+06,1.7282084472585137e+09,1.728187256003565e+09,3.456395703262079e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,lifinity,4.313048e+06,5.681541e+06,9.994589e+06,1.39655776738717e+09,1.3970370208228395e+09,2.7935947882100096e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,whirlpool,1.150967e+06,1.171248e+06,2.322215e+06,1.2387593143637571e+09,1.21876899504176e+09,2.457528309405517e+09,2025-04-01 00:00:36.000 UTC,2025-04-30 23:59:53.000 UTC,29,0
So11111111111111111111111111111111111111112,zerofi,1.152485e+06,870697,2.023182e+06,1.2123467437275543e+09,1.2127776399409244e+09,2.425124383668479e+09,2025-04-01 00:01:19.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,jupiterz,235298,234394,469692,1.2266680020194807e+09,1.0479566997454566e+09,2.2746247017649374e+09,2025-04-01 00:00:12.000 UTC,2025-04-30 23:59:47.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,lifinity,2.367036e+06,2.862554e+06,5.22959e+06,1.0806803092912111e+09,1.0810680526075408e+09,2.161748361898752e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,stabble,3.583139e+06,3.779004e+06,7.362143e+06,9.294231739000235e+08,9.293988478020992e+08,1.8588220217021227e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,stabble,2.683893e+06,2.907592e+06,5.591485e+06,8.63249944837113e+08,8.630346537175995e+08,1.7262845985547125e+09,2025-04-01 00:00:02.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,solfi,1.071703e+06,1.043782e+06,2.115485e+06,7.809451409149998e+08,7.796376087032671e+08,1.560582749618267e+09,2025-04-01 00:00:09.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solfi,1.223332e+06,1.44748e+06,2.670812e+06,7.067538302887567e+08,7.064970790055586e+08,1.4132509092943153e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
So11111111111111111111111111111111111111112,jupiterz,156831,159435,316266,5.718846970381206e+08,6.785919899107478e+08,1.2504766869488683e+09,2025-04-01 00:00:14.000 UTC,2025-04-30 23:59:47.000 UTC,29,0
So11111111111111111111111111111111111111112,obric,4.009021e+06,2.835735e+06,6.844756e+06,6.148539647114538e+08,6.1468208551913e+08,1.2295360502305837e+09,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,1.154158e+06,1.142046e+06,2.296204e+06,6.0344731392101e+08,5.924441188558501e+08,1.1958914327768602e+09,2025-04-01 00:00:05.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,whirlpool,508977,460920,969897,5.415999206020441e+08,5.389882333214294e+08,1.0805881539234734e+09,2025-04-01 00:00:05.000 UTC,2025-04-30 23:59:50.000 UTC,29,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,meteora,504082,518115,1.022197e+06,4.6953607092464364e+08,4.6877570894077915e+08,9.383117798654227e+08,2025-04-01 00:00:04.000 UTC,2025-04-30 23:59:53.000 UTC,29,0
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,whirlpool,1.010513e+06,955174,1.965687e+06,4.6448046381215054e+08,4.6031622031671566e+08,9.247966841288662e+08,2025-04-01 00:00:06.000 UTC,2025-04-30 23:59:51.000 UTC,29,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,whirlpool,584690,514831,1.099521e+06,4.242298619670725e+08,4.2425157151262295e+08,8.484814334796954e+08,2025-04-01 00:00:03.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,phoenix,725587,747976,1.473563e+06,4.968243004570275e+08,2.0674288472482413e+08,7.035671851818516e+08,2025-04-01 00:00:05.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,jupiterz,35889,32212,68101,2.7600515138061726e+08,2.9074235671403104e+08,5.667475080946484e+08,2025-04-01 00:00:12.000 UTC,2025-04-30 23:58:36.000 UTC,29,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,whirlpool,1.003773e+06,947430,1.951203e+06,3.0807078094238794e+08,2.407254549313769e+08,5.487962358737649e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:56.000 UTC,29,0
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,whirlpool,1.403912e+06,1.40809e+06,2.812002e+06,2.6921302937272084e+08,2.680079598464094e+08,5.372209892191303e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,jupiterz,93898,92235,186133,2.728185082531523e+08,2.5090829926754153e+08,5.2372680752069384e+08,2025-04-01 00:00:12.000 UTC,2025-04-30 23:59:01.000 UTC,29,0
HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,whirlpool,376784,375021,751805,2.5971694338675818e+08,2.606612287077032e+08,5.203781720944614e+08,2025-04-01 00:00:40.000 UTC,2025-04-30 23:59:42.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,whirlpool,879859,985530,1.865389e+06,2.391530306075837e+08,2.3783220810524508e+08,4.7698523871282876e+08,2025-04-01 00:00:02.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,solfi,253076,255012,508088,2.2708473316053393e+08,2.266904992760731e+08,4.53775232436607e+08,2025-04-01 00:00:22.000 UTC,2025-04-30 23:59:29.000 UTC,29,0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,meteora,1.047883e+06,1.751109e+06,2.798992e+06,2.064371098798302e+08,2.2016934613187432e+08,4.2660645601170456e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,meteora,1.048632e+06,1.0262e+06,2.074832e+06,1.9755990205819967e+08,1.9557859524720266e+08,3.9313849730540234e+08,2025-04-01 00:00:06.000 UTC,2025-04-30 23:59:55.000 UTC,29,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,whirlpool,482288,483552,965840,1.8342876160678422e+08,1.8579619908134404e+08,3.6922496068812823e+08,2025-04-01 00:00:08.000 UTC,2025-04-30 23:59:48.000 UTC,29,0
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,275929,245578,521507,1.8229332601915073e+08,1.7843251671488082e+08,3.6072584273403156e+08,2025-04-01 00:01:16.000 UTC,2025-04-30 23:59:37.000 UTC,29,0
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,zerofi,486826,491190,978016,1.493939797101512e+08,1.4940322953944138e+08,2.9879720924959254e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:47.000 UTC,29,0
C3DwDjT17gDvvCYC2nsdGHxDHVmQRdhKfpAdqQ29pump,pumpswap,434794,400577,835371,1.4334909568243402e+08,1.4319045036651528e+08,2.865395460489493e+08,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:45.000 UTC,29,0
So11111111111111111111111111111111111111112,phoenix,221956,225108,447064,395.6901719635301,2.828598965011777e+08,2.828602921913497e+08,2025-04-01 00:00:11.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,whirlpool,909764,905794,1.815558e+06,1.351762607168375e+08,1.347699039376277e+08,2.699461646544652e+08,2025-04-01 00:00:11.000 UTC,2025-04-30 23:59:56.000 UTC,29,0
JDzPbXboQYWVmdxXS3LbvjM52RtsV1QaSv2AzoCiai2o,meteora,128562,142963,271525,1.2928777587906963e+08,1.12928212693392e+08,2.422159885724616e+08,2025-04-16 00:26:12.000 UTC,2025-04-30 23:59:33.000 UTC,14,0
DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,pumpswap,350410,310410,660820,1.169130551619228e+08,1.1574913964077602e+08,2.3266219480269882e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:57.000 UTC,29,0
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,meteora,577730,602399,1.180129e+06,1.1661484120933016e+08,1.1487883755681024e+08,2.314936787661404e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:50.000 UTC,29,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,raydium,1.581641e+06,1.191316e+06,2.772957e+06,1.1312123735937199e+08,1.1508148905790891e+08,2.282027264172809e+08,2025-04-01 00:00:00.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,zerofi,308849,325999,634848,1.13741245489871e+08,1.1377511280350065e+08,2.2751635829337165e+08,2025-04-01 00:00:05.000 UTC,2025-04-30 23:59:50.000 UTC,29,0
8BtoThi2ZoXnF7QQK1Wjmh2JuBw9FjVvhnGMVZ2vpump,pumpswap,458744,413381,872125,1.1396388837540591e+08,1.1344497859198415e+08,2.2740886696739006e+08,2025-04-04 16:21:49.000 UTC,2025-04-30 23:59:28.000 UTC,26,0
USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,stabble,393931,374394,768325,1.0868569849598807e+08,1.089134555516972e+08,2.1759915404768527e+08,2025-04-01 00:00:09.000 UTC,2025-04-30 23:59:46.000 UTC,29,0
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,solfi,347190,350984,698174,1.0715909903204203e+08,1.0728330886419149e+08,2.144424078962335e+08,2025-04-25 18:22:37.000 UTC,2025-04-30 23:59:58.000 UTC,5,0
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,meteora,208055,197803,405858,1.2484590203916441e+08,8.75315473145344e+07,2.123774493536988e+08,2025-04-01 00:00:10.000 UTC,2025-04-30 23:59:56.000 UTC,29,0
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,meteora,171083,165071,336154,9.276420684521702e+07,9.363814956927367e+07,1.864023564144907e+08,2025-04-01 00:00:03.000 UTC,2025-04-30 23:59:48.000 UTC,29,0
FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump,raydium,343039,306717,649756,9.315682317944072e+07,9.297326154487604e+07,1.8613008472431678e+08,2025-04-01 00:00:22.000 UTC,2025-04-30 23:59:47.000 UTC,29,0
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,solfi,310188,315075,625263,9.291264061904386e+07,9.28110558745383e+07,1.8572369649358216e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:56.000 UTC,29,0
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,whirlpool,74449,88488,162937,8.94983652517372e+07,7.965927308310516e+07,1.6915763833484238e+08,2025-04-01 00:00:22.000 UTC,2025-04-30 23:59:51.000 UTC,29,0
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,pumpswap,417182,373012,790194,8.221145080618303e+07,8.163103133809221e+07,1.6384248214427525e+08,2025-04-20 16:27:20.000 UTC,2025-04-30 23:59:53.000 UTC,10,0
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,whirlpool,333704,315324,649028,8.163383339776473e+07,8.144147809354532e+07,1.6307531149131006e+08,2025-04-01 00:00:05.000 UTC,2025-04-30 23:59:45.000 UTC,29,0
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,zerofi,407397,441069,848466,7.991534851068921e+07,7.992658200648274e+07,1.5984193051717195e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:50.000 UTC,29,0
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,raydium,388869,271519,660388,8.065327389750627e+07,7.903191096328162e+07,1.5968518486078787e+08,2025-04-01 00:00:05.000 UTC,2025-04-30 23:59:54.000 UTC,29,0
So11111111111111111111111111111111111111112,raydium_launchlab,609973,716464,1.326437e+06,7.326192937762986e+07,8.21742870292015e+07,1.5543621640683135e+08,2025-04-15 14:05:46.000 UTC,2025-04-30 23:59:59.000 UTC,15,0
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,zerofi,93690,86050,179740,7.749706575030407e+07,7.747728555708301e+07,1.5497435130738708e+08,2025-04-01 00:00:33.000 UTC,2025-04-30 23:58:14.000 UTC,29,0
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,meteora,318107,309249,627356,7.152389437300083e+07,6.844255248590028e+07,1.399664468589011e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,zerofi,517348,515935,1.033283e+06,6.95107525380565e+07,6.960190417420541e+07,1.3911265671226192e+08,2025-04-01 00:00:04.000 UTC,2025-04-30 23:59:52.000 UTC,29,0
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,whirlpool,399682,414327,814009,6.436729724255189e+07,6.425671475435618e+07,1.2862401199690807e+08,2025-04-01 00:00:08.000 UTC,2025-04-30 23:59:48.000 UTC,29,0
CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk,raydium,213776,194382,408158,6.390383194067879e+07,6.3672284754590064e+07,1.2757611669526885e+08,2025-04-25 18:21:07.000 UTC,2025-04-30 23:59:55.000 UTC,5,0
HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,raydium,149977,168238,318215,6.363693020269455e+07,6.274029161505982e+07,1.2637722181775437e+08,2025-04-01 00:00:05.000 UTC,2025-04-30 23:59:58.000 UTC,29,0
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,solfi,122211,175449,297660,6.107125737893368e+07,6.1038083858477205e+07,1.2210934123741089e+08,2025-04-01 00:00:01.000 UTC,2025-04-30 23:59:51.000 UTC,29,0
DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,meteora,174774,169635,344409,5.99497654085129e+07,5.993333094368429e+07,1.1988309635219719e+08,2025-04-01 00:00:19.000 UTC,2025-04-30 23:59:56.000 UTC,29,0
C3DwDjT17gDvvCYC2nsdGHxDHVmQRdhKfpAdqQ29pump,meteora,200953,211490,412443,5.982649206107856e+07,5.988150163967585e+07,1.197079937007544e+08,2025-04-01 00:00:05.000 UTC,2025-04-30 23:59:09.000 UTC,29,0
FasH397CeZLNYWkd3wWK9vrmjd1z93n3b59DssRXpump,raydium,325810,199951,525761,5.619355016688005e+07,5.598002677415407e+07,1.1217357694103411e+08,2025-04-01 00:00:14.000 UTC,2025-04-30 23:56:55.000 UTC,29,0
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,whirlpool,359196,358091,717287,5.406150380983902e+07,5.404201834661736e+07,1.0810352215645638e+08,2025-04-01 00:00:02.000 UTC,2025-04-30 23:59:59.000 UTC,29,0
25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ,raydium,135247,131938,267185,5.38413476076571e+07,5.359045364594452e+07,1.0743180125360161e+08,2025-04-01 00:00:06.000 UTC,2025-04-30 23:59:02.000 UTC,29,0
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,raydium,286033,196764,482797,5.166451821941206e+07,5.169818708465158e+07,1.0336270530406365e+08,2025-04-01 00:00:02.000 UTC,2025-04-30 23:59:36.000 UTC,29,0
8BtoThi2ZoXnF7QQK1Wjmh2JuBw9FjVvhnGMVZ2vpump,meteora,284301,276180,560481,4.944166668569861e+07,5.082646091076712e+07,1.0026812759646574e+08,2025-04-04 16:34:04.000 UTC,2025-04-30 23:59:17.000 UTC,26,0
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,raydium,389229,350176,739405,5.091462089767091e+07,4.908456368026664e+07,9.999918457793754e+07,2025-04-01 00:01:04.000 UTC,2025-04-30 23:57:51.000 UTC,29,0
8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,raydium,204673,213199,417872,4.963221277601293e+07,4.928494285099858e+07,9.891715562701151e+07,2025-04-01 00:01:37.000 UTC,2025-04-30 23:59:33.000 UTC,29,0
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,phoenix,38358,73769,112127,4.910201550326788e+07,4.948179316703185e+07,9.858380867029972e+07,2025-04-01 00:02:35.000 UTC,2025-04-30 23:49:50.000 UTC,29,0
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,meteora,350905,360366,711271,4.7862460972192585e+07,4.670326470170371e+07,9.45657256738963e+07,2025-04-01 00:00:15.000 UTC,2025-04-30 23:59:49.000 UTC,29,0
