mint,project,num_buy_swaps,num_sell_swaps,num_total_swaps,buy_volume_usd,sell_volume_usd,total_volume_usd,first_activity_time,last_activity_time,lifespan_days,inactivity_status
So11111111111111111111111111111111111111112,raydium,2.24550171e+08,2.9123858e+08,5.15788751e+08,4.012098967586262e+10,4.0804489026405334e+10,8.092547870226794e+10,2025-02-01 00:00:00.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,solfi,5.664179e+06,6.291089e+06,1.1955268e+07,1.0840810892178406e+10,1.0843959089190163e+10,2.168476998136857e+10,2025-02-01 00:00:00.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
So11111111111111111111111111111111111111112,solfi,4.170584e+06,3.558839e+06,7.729423e+06,1.0264079723645481e+10,1.026049897422779e+10,2.0524578697873272e+10,2025-02-01 00:00:00.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
So11111111111111111111111111111111111111112,whirlpool,1.071192e+07,1.0954123e+07,2.1666043e+07,8.52139177500188e+09,8.713141100551455e+09,1.7234532875553333e+10,2025-02-01 00:00:00.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,zerofi,4.039285e+06,4.467385e+06,8.50667e+06,7.590018844045204e+09,7.594126307632244e+09,1.5184145151677448e+10,2025-02-01 06:37:48.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
So11111111111111111111111111111111111111112,meteora,1.4502501e+07,1.5841008e+07,3.0343509e+07,7.264442221904757e+09,7.077698340318744e+09,1.43421405622235e+10,2025-02-01 00:00:00.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,meteora,6.462153e+06,5.869017e+06,1.233117e+07,6.643874632605914e+09,6.487499820809118e+09,1.3131374453415031e+10,2025-02-01 00:00:02.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,whirlpool,6.246504e+06,6.090075e+06,1.2336579e+07,6.539430437587487e+09,6.489847748145352e+09,1.302927818573284e+10,2025-02-01 00:00:01.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
So11111111111111111111111111111111111111112,zerofi,1.965638e+06,1.68203e+06,3.647668e+06,6.414558913190867e+09,6.410727213634957e+09,1.2825286126825825e+10,2025-02-01 06:37:53.000 UTC,2025-02-28 23:59:52.000 UTC,27,0
So11111111111111111111111111111111111111112,lifinity,7.174757e+06,6.922595e+06,1.4097352e+07,5.076292480444105e+09,5.073872348247841e+09,1.0150164828691946e+10,2025-02-01 00:00:01.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
So11111111111111111111111111111111111111112,pumpdotfun,5.0117536e+07,6.358795e+07,1.13705486e+08,3.0004141217870965e+09,3.195165044407842e+09,6.195579166194939e+09,2025-02-01 00:00:00.000 UTC,2025-02-28 23:59:59.000 UTC,27,0
