model,status,feature_count,accuracy,precision,recall,f1,roc_auc
random_forest,trained,22,0.9998649378714208,1.0,0.994475138121547,0.997229916897507,1.0
logistic_regression,trained,22,0.9739330091842248,0.4838709677419355,0.994475138121547,0.650994575045208,0.9961491184927216
