model,target_label,split/test_set,brier_score,ece,predicted_positive_rate_at_0_5,true_positive_rate,n_samples
rule_baseline,rugcheck_binary,all_usable_rugcheck,0.27682528393350464,0.329594209721451,0.4409805214844577,0.820633066882893,165259
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,0.6917965201417402,0.7216334532263486,0.03676653011333725,0.820633066882893,165259
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,0.8173292273355034,0.8173518052258104,0.004005833267779667,0.820633066882893,165259
graphsage_direct,rugcheck_binary,all_usable_rugcheck,0.6994601829159249,0.7244042556783078,0.05183983928258068,0.820633066882893,165259
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,0.8173204230495283,0.8173750362073318,0.0037758911768799278,0.820633066882893,165259
rule_baseline,rugcheck_binary,dune_2025_rugcheck,0.2780788660127506,0.3312679593782033,0.45651870324189525,0.8263341645885287,100250
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,0.6962649229928867,0.7266499116905292,0.032518703241895264,0.8263341645885287,100250
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,0.8229521806759009,0.8229926865331954,0.0036209476309226932,0.8263341645885287,100250
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,0.7040833811975158,0.729401422070765,0.0485785536159601,0.8263341645885287,100250
old_weak_xgboost_token_graphsage,rugcheck_binary,dune_2025_rugcheck,0.8229247937411583,0.8229958904976339,0.003341645885286783,0.8263341645885287,100250
