label_version,n_compared,tp,fp,tn,fn,precision,recall,f1,agreement_rate
weak_strict,165259,490,243,29399,135127,0.6684856753069577,0.0036131163497201677,0.007187385405207187,0.1808615567079554
weak_relaxed,165259,132823,28809,833,2794,0.8217617798455751,0.9793978630997588,0.8936817281134671,0.8087668447709353
label_union,165259,135617,243,29399,0,0.9982113940821434,1.0,0.9991048965474055,0.9985295808397727
label_intersection,165259,490,0,29642,135127,1.0,0.0036131163497201677,0.007200217475956417,0.18233197586818267
label_consensus,29889,490,0,29399,0,1.0,1.0,1.0,1.0
