source,year,n_tokens,label_source,positive_rate,label_coverage_rate,median_lifespan_hours,median_activity_count,median_total_volume,median_imbalance_ratio,median_entity_concentration_ratio,predicted_positive_rate_solrpds_logistic_regression,predicted_positive_rate_solrpds_random_forest,predicted_positive_rate_rule_baseline,predicted_positive_rate_old_weak_token_logistic,predicted_positive_rate_old_weak_xgboost_token,predicted_positive_rate_graphsage_direct,predicted_positive_rate_old_weak_xgboost_token_graphsage
SolRPDS,2021,580,SolRPDS inactivity/rug_label,0.15,1.0,876.9205555555556,76.0,6812725.807213494,0.9275066379187678,1.0,,,,,,,
SolRPDS,2022,1311,SolRPDS inactivity/rug_label,0.3508771929824561,1.0,3423.3386111111117,42.0,2026557.871332664,1.3592080345525803,1.0,,,,,,,
SolRPDS,2023,5679,SolRPDS inactivity/rug_label,0.4726184187356929,1.0,53.10777777777778,10.0,304245369.130636,1.9815233281006768,1.0,,,,,,,
SolRPDS,2024,27750,SolRPDS inactivity/rug_label,0.584972972972973,1.0,23.195555555555558,8.0,43772518.515149996,1.2498054816277846,1.0,0.770918918918919,0.8073153153153153,,,,,
Dune,2024,66096,RugCheck binary external labels,0.8118414373394454,0.9835542241587993,0.0,1.0,117.11412070587,0.6797100142504799,1.0,,,0.41752904865649965,0.04336117162914548,0.0045691115952553865,0.05702311788913096,0.004417816509319777
Dune,2025,101411,RugCheck binary external labels,0.8263341645885287,0.9885515378016192,0.0,1.0,89.14474144680001,1.0251255859413322,1.0,,,0.45650866276833874,0.03241265740402915,0.0035893542120677244,0.048387255820374515,0.0033033891786887026
