model,target_label,split/test_set,baseline_positive_rate,predicted_positive_rate,auprc,roc_auc,precision_at_1pct,enrichment_at_1pct,precision_at_5pct,enrichment_at_5pct,precision_at_10pct,enrichment_at_10pct
rule_baseline,rugcheck_binary,all_usable_rugcheck,0.820633066882893,0.4409805214844577,0.8193906893216583,0.4890766188772735,0.8342407743496673,1.0165819633840274,0.8391625317681229,1.022579476300672,0.8209488079390052,1.0003847530264793
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,0.820633066882893,0.03676653011333725,0.8061350150816551,0.4920440519186833,0.6491228070175439,0.7910024994278909,0.7560208156843762,0.9212653574344243,0.7856105530678931,0.9573225656772155
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,0.820633066882893,0.004005833267779667,0.8110565294836661,0.48217436260721136,0.7065940713853599,0.861035339544992,0.783976763887208,0.9553316768785337,0.8024325305579088,0.9778213466414198
graphsage_direct,rugcheck_binary,all_usable_rugcheck,0.820633066882893,0.05183983928258068,0.8074558863924258,0.4871628040145286,0.6696914700544465,0.8160668843119061,0.7742950502238897,0.9435338173307902,0.7961394166767518,0.9701527379353866
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,0.820633066882893,0.0037758911768799278,0.8097578706434272,0.4808102709971991,0.6975196612220206,0.8499775226843972,0.7729638145951834,0.9419116116429754,0.7992254629069345,0.9739133056662298
rule_baseline,rugcheck_binary,dune_2025_rugcheck,0.8263341645885287,0.45651870324189525,0.816119157027687,0.4650615221664234,0.8514456630109671,1.030389035693499,0.8424097346898065,1.019454078979395,0.8061845386533666,0.9756156446161275
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,0.8263341645885287,0.032518703241895264,0.8053375441430555,0.4689624553231061,0.6869391824526421,0.8313091868768393,0.770197486535009,0.9320654034902782,0.7814463840399003,0.9456784162240464
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,0.8263341645885287,0.0036209476309226932,0.8129520530489555,0.46999661811826066,0.7357926221335992,0.8904298692526957,0.7949331737482546,0.9619996459230145,0.8065835411471322,0.9760985031385804
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,0.8263341645885287,0.0485785536159601,0.8075425267092422,0.4683681479366465,0.7028913260219342,0.8506138994893638,0.7783762218232595,0.9419630159075538,0.8005985037406483,0.9688556253017865
old_weak_xgboost_token_graphsage,rugcheck_binary,dune_2025_rugcheck,0.8263341645885287,0.003341645885286783,0.8128349953127767,0.46970590456097455,0.7397806580259222,0.8952560474058269,0.7869539198084979,0.952343438686648,0.8076807980049875,0.9774263640753258
